Using device: cuda
Start Training (Stable Version)...
Epoch [1/200] Loss: 4.6136 | Train Acc: 0.98% | Test Acc: 1.38% | LR: 0.000001
Epoch [20/200] Loss: 1.9197 | Train Acc: 49.02% | Test Acc: 58.29% | LR: 0.000987
Epoch [21/200] Loss: 1.8828 | Train Acc: 50.02% | Test Acc: 57.75% | LR: 0.000985
Epoch [22/200] Loss: 1.8578 | Train Acc: 50.67% | Test Acc: 58.82% | LR: 0.000983
Epoch [23/200] Loss: 1.8269 | Train Acc: 51.42% | Test Acc: 59.42% | LR: 0.000981
Epoch [24/200] Loss: 1.7924 | Train Acc: 52.18% | Test Acc: 59.54% | LR: 0.000979
Epoch [25/200] Loss: 1.7600 | Train Acc: 53.11% | Test Acc: 61.85% | LR: 0.000977
Epoch [26/200] Loss: 1.7408 | Train Acc: 53.59% | Test Acc: 61.92% | LR: 0.000974
Epoch [27/200] Loss: 1.7104 | Train Acc: 54.05% | Test Acc: 62.39% | LR: 0.000972
Epoch [28/200] Loss: 1.6783 | Train Acc: 55.13% | Test Acc: 63.35% | LR: 0.000969
Epoch [29/200] Loss: 1.6542 | Train Acc: 55.65% | Test Acc: 64.37% | LR: 0.000966
Epoch [30/200] Loss: 1.6236 | Train Acc: 56.14% | Test Acc: 63.90% | LR: 0.000963
Epoch [31/200] Loss: 1.6002 | Train Acc: 57.19% | Test Acc: 64.48% | LR: 0.000960
Epoch [32/200] Loss: 1.5804 | Train Acc: 57.64% | Test Acc: 64.07% | LR: 0.000957
Epoch [33/200] Loss: 1.5576 | Train Acc: 58.03% | Test Acc: 65.68% | LR: 0.000953
Epoch [34/200] Loss: 1.5396 | Train Acc: 58.54% | Test Acc: 64.63% | LR: 0.000950
Epoch [35/200] Loss: 1.5182 | Train Acc: 59.20% | Test Acc: 65.57% | LR: 0.000946
Epoch [36/200] Loss: 1.5054 | Train Acc: 59.35% | Test Acc: 66.36% | LR: 0.000943
Epoch [37/200] Loss: 1.4653 | Train Acc: 60.39% | Test Acc: 66.06% | LR: 0.000939
Epoch [38/200] Loss: 1.4614 | Train Acc: 60.38% | Test Acc: 67.10% | LR: 0.000935
Epoch [39/200] Loss: 1.4330 | Train Acc: 61.23% | Test Acc: 66.81% | LR: 0.000931
Epoch [40/200] Loss: 1.4128 | Train Acc: 61.59% | Test Acc: 66.96% | LR: 0.000927
Epoch [41/200] Loss: 1.4002 | Train Acc: 61.99% | Test Acc: 67.93% | LR: 0.000923
Epoch [42/200] Loss: 1.3960 | Train Acc: 62.03% | Test Acc: 67.55% | LR: 0.000918
Epoch [43/200] Loss: 1.3790 | Train Acc: 62.66% | Test Acc: 69.15% | LR: 0.000914
Epoch [44/200] Loss: 1.3588 | Train Acc: 63.21% | Test Acc: 68.22% | LR: 0.000909
Epoch [45/200] Loss: 1.3415 | Train Acc: 63.40% | Test Acc: 68.58% | LR: 0.000905
Epoch [46/200] Loss: 1.3295 | Train Acc: 64.04% | Test Acc: 69.12% | LR: 0.000900
Epoch [47/200] Loss: 1.3157 | Train Acc: 64.11% | Test Acc: 68.84% | LR: 0.000895
Epoch [48/200] Loss: 1.3073 | Train Acc: 64.32% | Test Acc: 69.00% | LR: 0.000890
Epoch [49/200] Loss: 1.3009 | Train Acc: 64.72% | Test Acc: 68.35% | LR: 0.000885
Epoch [50/200] Loss: 1.2817 | Train Acc: 65.14% | Test Acc: 69.75% | LR: 0.000880
Epoch [51/200] Loss: 1.2794 | Train Acc: 65.25% | Test Acc: 69.93% | LR: 0.000874
Epoch [52/200] Loss: 1.2646 | Train Acc: 65.73% | Test Acc: 69.97% | LR: 0.000869
Epoch [53/200] Loss: 1.2399 | Train Acc: 66.22% | Test Acc: 69.96% | LR: 0.000864
Epoch [54/200] Loss: 1.2496 | Train Acc: 65.86% | Test Acc: 69.88% | LR: 0.000858
Epoch [55/200] Loss: 1.2293 | Train Acc: 66.48% | Test Acc: 71.28% | LR: 0.000852
Epoch [56/200] Loss: 1.2421 | Train Acc: 66.57% | Test Acc: 70.08% | LR: 0.000847
Epoch [57/200] Loss: 1.2219 | Train Acc: 66.64% | Test Acc: 70.09% | LR: 0.000841
Epoch [58/200] Loss: 1.2232 | Train Acc: 66.64% | Test Acc: 70.31% | LR: 0.000835
Epoch [59/200] Loss: 1.1970 | Train Acc: 67.19% | Test Acc: 70.62% | LR: 0.000829
Epoch [60/200] Loss: 1.2000 | Train Acc: 67.37% | Test Acc: 70.80% | LR: 0.000823
Epoch [61/200] Loss: 1.1739 | Train Acc: 67.79% | Test Acc: 70.64% | LR: 0.000816
Epoch [62/200] Loss: 1.1554 | Train Acc: 68.42% | Test Acc: 71.00% | LR: 0.000810
Epoch [63/200] Loss: 1.1618 | Train Acc: 68.49% | Test Acc: 71.47% | LR: 0.000804
Epoch [64/200] Loss: 1.1371 | Train Acc: 69.17% | Test Acc: 71.69% | LR: 0.000797
Epoch [65/200] Loss: 1.1356 | Train Acc: 69.16% | Test Acc: 70.79% | LR: 0.000791
Epoch [66/200] Loss: 1.1274 | Train Acc: 69.32% | Test Acc: 71.90% | LR: 0.000784
Epoch [67/200] Loss: 1.1187 | Train Acc: 69.24% | Test Acc: 71.83% | LR: 0.000778
Epoch [68/200] Loss: 1.1153 | Train Acc: 69.54% | Test Acc: 71.85% | LR: 0.000771
Epoch [69/200] Loss: 1.1067 | Train Acc: 69.96% | Test Acc: 72.17% | LR: 0.000764
Epoch [70/200] Loss: 1.0983 | Train Acc: 69.98% | Test Acc: 71.38% | LR: 0.000757
Epoch [71/200] Loss: 1.0905 | Train Acc: 70.19% | Test Acc: 72.52% | LR: 0.000750
Epoch [72/200] Loss: 1.0718 | Train Acc: 70.94% | Test Acc: 72.87% | LR: 0.000743
Epoch [73/200] Loss: 1.0768 | Train Acc: 70.58% | Test Acc: 71.54% | LR: 0.000736
Epoch [74/200] Loss: 1.0651 | Train Acc: 70.93% | Test Acc: 72.03% | LR: 0.000729
Epoch [75/200] Loss: 1.0585 | Train Acc: 71.17% | Test Acc: 73.14% | LR: 0.000722
Epoch [76/200] Loss: 1.0501 | Train Acc: 71.43% | Test Acc: 72.19% | LR: 0.000715
Epoch [77/200] Loss: 1.0468 | Train Acc: 71.64% | Test Acc: 72.78% | LR: 0.000707
Epoch [78/200] Loss: 1.0329 | Train Acc: 71.80% | Test Acc: 71.50% | LR: 0.000700
Epoch [79/200] Loss: 1.0318 | Train Acc: 71.71% | Test Acc: 72.80% | LR: 0.000693
Epoch [80/200] Loss: 1.0243 | Train Acc: 72.22% | Test Acc: 72.37% | LR: 0.000685
Epoch [81/200] Loss: 1.0175 | Train Acc: 72.38% | Test Acc: 72.88% | LR: 0.000678
Epoch [82/200] Loss: 1.0048 | Train Acc: 72.38% | Test Acc: 72.85% | LR: 0.000670
Epoch [83/200] Loss: 0.9984 | Train Acc: 72.68% | Test Acc: 72.38% | LR: 0.000662
Epoch [84/200] Loss: 0.9945 | Train Acc: 72.87% | Test Acc: 72.92% | LR: 0.000655
Epoch [85/200] Loss: 0.9901 | Train Acc: 73.12% | Test Acc: 72.56% | LR: 0.000647
Epoch [86/200] Loss: 0.9814 | Train Acc: 73.33% | Test Acc: 72.84% | LR: 0.000639
Epoch [87/200] Loss: 0.9798 | Train Acc: 73.26% | Test Acc: 72.73% | LR: 0.000632
Epoch [88/200] Loss: 0.9745 | Train Acc: 73.66% | Test Acc: 73.66% | LR: 0.000624
Epoch [89/200] Loss: 0.9583 | Train Acc: 73.98% | Test Acc: 73.06% | LR: 0.000616
Epoch [90/200] Loss: 0.9397 | Train Acc: 74.22% | Test Acc: 73.34% | LR: 0.000608
Epoch [91/200] Loss: 0.9487 | Train Acc: 74.16% | Test Acc: 73.57% | LR: 0.000600
Epoch [92/200] Loss: 0.9395 | Train Acc: 74.47% | Test Acc: 73.80% | LR: 0.000593
Epoch [93/200] Loss: 0.9371 | Train Acc: 74.46% | Test Acc: 73.53% | LR: 0.000585
Epoch [94/200] Loss: 0.9209 | Train Acc: 74.99% | Test Acc: 73.76% | LR: 0.000577
Epoch [95/200] Loss: 0.9181 | Train Acc: 74.95% | Test Acc: 73.58% | LR: 0.000569
Epoch [96/200] Loss: 0.9145 | Train Acc: 75.18% | Test Acc: 74.08% | LR: 0.000561
Epoch [97/200] Loss: 0.9184 | Train Acc: 75.18% | Test Acc: 74.12% | LR: 0.000553
Epoch [98/200] Loss: 0.9091 | Train Acc: 75.51% | Test Acc: 74.44% | LR: 0.000545
Epoch [99/200] Loss: 0.9027 | Train Acc: 75.35% | Test Acc: 73.80% | LR: 0.000537
Epoch [100/200] Loss: 0.8892 | Train Acc: 75.84% | Test Acc: 74.41% | LR: 0.000529
Epoch [101/200] Loss: 0.8829 | Train Acc: 75.93% | Test Acc: 72.92% | LR: 0.000521
Epoch [102/200] Loss: 0.8980 | Train Acc: 75.67% | Test Acc: 74.03% | LR: 0.000513
Epoch [103/200] Loss: 1.4201 | Train Acc: 65.05% | Test Acc: 73.30% | LR: 0.000505
Epoch [104/200] Loss: 0.9156 | Train Acc: 75.31% | Test Acc: 73.54% | LR: 0.000496
Epoch [105/200] Loss: 0.8905 | Train Acc: 75.77% | Test Acc: 74.11% | LR: 0.000488
Epoch [106/200] Loss: 0.8804 | Train Acc: 76.25% | Test Acc: 74.35% | LR: 0.000480
Epoch [107/200] Loss: 0.8657 | Train Acc: 76.57% | Test Acc: 74.46% | LR: 0.000472
Epoch [108/200] Loss: 0.8567 | Train Acc: 76.77% | Test Acc: 74.52% | LR: 0.000464
Epoch [109/200] Loss: 0.8525 | Train Acc: 77.00% | Test Acc: 74.66% | LR: 0.000456
Epoch [110/200] Loss: 0.8520 | Train Acc: 76.87% | Test Acc: 74.84% | LR: 0.000448
Epoch [111/200] Loss: 0.8398 | Train Acc: 77.13% | Test Acc: 74.94% | LR: 0.000440
Epoch [112/200] Loss: 0.8222 | Train Acc: 77.67% | Test Acc: 74.65% | LR: 0.000432
Epoch [113/200] Loss: 0.8279 | Train Acc: 77.53% | Test Acc: 74.48% | LR: 0.000424
Epoch [114/200] Loss: 0.8236 | Train Acc: 77.76% | Test Acc: 74.33% | LR: 0.000416
Epoch [115/200] Loss: 0.8198 | Train Acc: 77.89% | Test Acc: 74.80% | LR: 0.000408
Epoch [116/200] Loss: 0.8227 | Train Acc: 77.81% | Test Acc: 75.13% | LR: 0.000401
Epoch [117/200] Loss: 0.8148 | Train Acc: 78.16% | Test Acc: 75.75% | LR: 0.000393
Epoch [118/200] Loss: 0.7988 | Train Acc: 78.45% | Test Acc: 74.93% | LR: 0.000385
Epoch [119/200] Loss: 0.7978 | Train Acc: 78.54% | Test Acc: 75.01% | LR: 0.000377
Epoch [120/200] Loss: 2.9082 | Train Acc: 35.96% | Test Acc: 9.92% | LR: 0.000369
Epoch [121/200] Loss: 4.5686 | Train Acc: 3.31% | Test Acc: 3.26% | LR: 0.000362
Epoch [122/200] Loss: 4.5582 | Train Acc: 2.86% | Test Acc: 3.14% | LR: 0.000354
Epoch [123/200] Loss: 4.5434 | Train Acc: 3.47% | Test Acc: 7.85% | LR: 0.000346
Epoch [124/200] Loss: 4.2350 | Train Acc: 8.57% | Test Acc: 5.55% | LR: 0.000339
Epoch [125/200] Loss: 2.2109 | Train Acc: 48.49% | Test Acc: 73.07% | LR: 0.000331
Epoch [126/200] Loss: 0.9017 | Train Acc: 75.75% | Test Acc: 74.73% | LR: 0.000323
Epoch [127/200] Loss: 0.8552 | Train Acc: 77.01% | Test Acc: 74.90% | LR: 0.000316
Epoch [128/200] Loss: 0.8646 | Train Acc: 77.14% | Test Acc: 74.74% | LR: 0.000308
Epoch [129/200] Loss: 0.8336 | Train Acc: 77.85% | Test Acc: 75.05% | LR: 0.000301
Epoch [130/200] Loss: 0.8101 | Train Acc: 78.24% | Test Acc: 75.79% | LR: 0.000294
Epoch [131/200] Loss: 0.7951 | Train Acc: 78.63% | Test Acc: 75.79% | LR: 0.000286
Epoch [132/200] Loss: 0.7887 | Train Acc: 79.11% | Test Acc: 75.76% | LR: 0.000279
Epoch [133/200] Loss: 0.8170 | Train Acc: 78.48% | Test Acc: 76.13% | LR: 0.000272
Epoch [134/200] Loss: 0.7819 | Train Acc: 79.16% | Test Acc: 75.50% | LR: 0.000265
Epoch [135/200] Loss: 0.7963 | Train Acc: 78.96% | Test Acc: 76.04% | LR: 0.000258
Epoch [136/200] Loss: 0.8014 | Train Acc: 78.85% | Test Acc: 75.99% | LR: 0.000251
Epoch [137/200] Loss: 0.7690 | Train Acc: 79.63% | Test Acc: 75.51% | LR: 0.000244
Epoch [138/200] Loss: 0.7635 | Train Acc: 79.66% | Test Acc: 76.12% | LR: 0.000237
Epoch [139/200] Loss: 0.7439 | Train Acc: 80.17% | Test Acc: 75.40% | LR: 0.000230
Epoch [140/200] Loss: 0.7413 | Train Acc: 80.28% | Test Acc: 76.03% | LR: 0.000223
Epoch [141/200] Loss: 0.7389 | Train Acc: 80.37% | Test Acc: 75.92% | LR: 0.000217
Epoch [142/200] Loss: 0.7215 | Train Acc: 80.71% | Test Acc: 76.04% | LR: 0.000210
Epoch [143/200] Loss: 0.7265 | Train Acc: 80.80% | Test Acc: 75.89% | LR: 0.000204
Epoch [144/200] Loss: 0.7201 | Train Acc: 80.95% | Test Acc: 76.36% | LR: 0.000197
Epoch [145/200] Loss: 0.7551 | Train Acc: 80.22% | Test Acc: 73.11% | LR: 0.000191
Epoch [146/200] Loss: 0.7301 | Train Acc: 80.61% | Test Acc: 76.22% | LR: 0.000185
Epoch [147/200] Loss: 0.7051 | Train Acc: 81.13% | Test Acc: 76.20% | LR: 0.000178
Epoch [148/200] Loss: 0.6941 | Train Acc: 81.64% | Test Acc: 76.15% | LR: 0.000172
Epoch [149/200] Loss: 0.7013 | Train Acc: 81.26% | Test Acc: 76.60% | LR: 0.000166
Epoch [150/200] Loss: 0.6900 | Train Acc: 81.76% | Test Acc: 76.33% | LR: 0.000160
Epoch [151/200] Loss: 0.6896 | Train Acc: 81.76% | Test Acc: 75.94% | LR: 0.000154
Epoch [152/200] Loss: 0.6796 | Train Acc: 81.97% | Test Acc: 76.39% | LR: 0.000149
Epoch [153/200] Loss: 0.6826 | Train Acc: 81.93% | Test Acc: 76.81% | LR: 0.000143
Epoch [154/200] Loss: 0.6893 | Train Acc: 81.95% | Test Acc: 76.60% | LR: 0.000137
Epoch [155/200] Loss: 0.6694 | Train Acc: 82.25% | Test Acc: 76.59% | LR: 0.000132
Epoch [156/200] Loss: 0.6705 | Train Acc: 82.17% | Test Acc: 76.75% | LR: 0.000127
Epoch [157/200] Loss: 0.6739 | Train Acc: 82.25% | Test Acc: 76.91% | LR: 0.000121
Epoch [158/200] Loss: 0.6664 | Train Acc: 82.48% | Test Acc: 76.99% | LR: 0.000116
Epoch [159/200] Loss: 0.6693 | Train Acc: 82.23% | Test Acc: 76.72% | LR: 0.000111
Epoch [160/200] Loss: 0.6625 | Train Acc: 82.52% | Test Acc: 76.81% | LR: 0.000106
Epoch [161/200] Loss: 0.6560 | Train Acc: 82.75% | Test Acc: 77.11% | LR: 0.000101
Epoch [162/200] Loss: 0.6581 | Train Acc: 82.38% | Test Acc: 77.01% | LR: 0.000096
Epoch [163/200] Loss: 0.6494 | Train Acc: 82.85% | Test Acc: 76.94% | LR: 0.000092
Epoch [164/200] Loss: 0.6392 | Train Acc: 83.07% | Test Acc: 77.14% | LR: 0.000087
Epoch [165/200] Loss: 0.6430 | Train Acc: 83.12% | Test Acc: 77.04% | LR: 0.000083
Epoch [166/200] Loss: 0.6363 | Train Acc: 83.30% | Test Acc: 77.07% | LR: 0.000078
Epoch [167/200] Loss: 0.6391 | Train Acc: 83.17% | Test Acc: 77.31% | LR: 0.000074
Epoch [168/200] Loss: 0.6347 | Train Acc: 83.35% | Test Acc: 77.22% | LR: 0.000070
Epoch [169/200] Loss: 0.6250 | Train Acc: 83.48% | Test Acc: 77.03% | LR: 0.000066
Epoch [170/200] Loss: 0.6128 | Train Acc: 83.78% | Test Acc: 77.28% | LR: 0.000062
Epoch [171/200] Loss: 0.6166 | Train Acc: 83.59% | Test Acc: 77.34% | LR: 0.000058
Epoch [172/200] Loss: 0.6234 | Train Acc: 83.56% | Test Acc: 77.28% | LR: 0.000055
Epoch [173/200] Loss: 0.6263 | Train Acc: 83.50% | Test Acc: 77.47% | LR: 0.000051
Epoch [174/200] Loss: 0.6169 | Train Acc: 83.59% | Test Acc: 77.28% | LR: 0.000048
Epoch [175/200] Loss: 0.6172 | Train Acc: 83.72% | Test Acc: 77.33% | LR: 0.000044
Epoch [176/200] Loss: 0.6266 | Train Acc: 83.42% | Test Acc: 77.32% | LR: 0.000041
Epoch [177/200] Loss: 0.6061 | Train Acc: 83.94% | Test Acc: 77.44% | LR: 0.000038
Epoch [178/200] Loss: 0.6042 | Train Acc: 84.12% | Test Acc: 77.59% | LR: 0.000035
Epoch [179/200] Loss: 0.6101 | Train Acc: 83.85% | Test Acc: 77.47% | LR: 0.000032
Epoch [180/200] Loss: 0.6032 | Train Acc: 84.04% | Test Acc: 77.69% | LR: 0.000029
Epoch [181/200] Loss: 0.6072 | Train Acc: 83.92% | Test Acc: 77.73% | LR: 0.000027
Epoch [182/200] Loss: 0.6095 | Train Acc: 83.94% | Test Acc: 77.71% | LR: 0.000024
Epoch [183/200] Loss: 0.6019 | Train Acc: 84.12% | Test Acc: 77.62% | LR: 0.000022
Epoch [184/200] Loss: 0.6027 | Train Acc: 84.08% | Test Acc: 77.78% | LR: 0.000020
Epoch [185/200] Loss: 0.6081 | Train Acc: 84.10% | Test Acc: 77.74% | LR: 0.000018
Epoch [186/200] Loss: 0.6057 | Train Acc: 83.97% | Test Acc: 77.72% | LR: 0.000016
Epoch [187/200] Loss: 0.6092 | Train Acc: 83.92% | Test Acc: 77.85% | LR: 0.000014
Epoch [188/200] Loss: 0.5979 | Train Acc: 84.28% | Test Acc: 77.82% | LR: 0.000012
Epoch [189/200] Loss: 0.5975 | Train Acc: 84.23% | Test Acc: 77.79% | LR: 0.000010
Epoch [190/200] Loss: 0.5944 | Train Acc: 84.39% | Test Acc: 77.88% | LR: 0.000009
Epoch [191/200] Loss: 0.6034 | Train Acc: 84.02% | Test Acc: 77.84% | LR: 0.000007
Epoch [192/200] Loss: 0.5977 | Train Acc: 84.30% | Test Acc: 77.94% | LR: 0.000006
Epoch [193/200] Loss: 0.6014 | Train Acc: 84.19% | Test Acc: 77.89% | LR: 0.000005
Epoch [194/200] Loss: 0.5989 | Train Acc: 84.29% | Test Acc: 77.86% | LR: 0.000004
Epoch [195/200] Loss: 0.5977 | Train Acc: 84.32% | Test Acc: 77.88% | LR: 0.000003
Epoch [196/200] Loss: 0.5977 | Train Acc: 84.17% | Test Acc: 77.78% | LR: 0.000003
Epoch [197/200] Loss: 0.5929 | Train Acc: 84.26% | Test Acc: 77.76% | LR: 0.000002
Epoch [198/200] Loss: 0.6021 | Train Acc: 84.17% | Test Acc: 77.91% | LR: 0.000002
Epoch [199/200] Loss: 0.5919 | Train Acc: 84.45% | Test Acc: 77.75% | LR: 0.000001
Epoch [200/200] Loss: 0.5963 | Train Acc: 84.17% | Test Acc: 77.86% | LR: 0.000001
