Using device: cuda:2
Start Training (Stable Version)...
Epoch [1/200] Loss: 4.6127 | Train Acc: 1.25% | Test Acc: 1.50% | LR: 0.000001
Epoch [80/200] Loss: 0.8782 | Train Acc: 76.09% | Test Acc: 75.68% | LR: 0.000685
Epoch [81/200] Loss: 0.8776 | Train Acc: 76.08% | Test Acc: 76.82% | LR: 0.000678
Epoch [82/200] Loss: 0.8814 | Train Acc: 76.08% | Test Acc: 76.57% | LR: 0.000670
Epoch [83/200] Loss: 0.8649 | Train Acc: 76.62% | Test Acc: 76.10% | LR: 0.000662
Epoch [84/200] Loss: 0.9165 | Train Acc: 75.38% | Test Acc: 75.71% | LR: 0.000655
Epoch [85/200] Loss: 0.8678 | Train Acc: 76.41% | Test Acc: 76.03% | LR: 0.000647
Epoch [86/200] Loss: 0.8573 | Train Acc: 76.76% | Test Acc: 76.67% | LR: 0.000639
Epoch [87/200] Loss: 0.8540 | Train Acc: 76.87% | Test Acc: 76.55% | LR: 0.000632
Epoch [88/200] Loss: 0.8407 | Train Acc: 77.18% | Test Acc: 77.42% | LR: 0.000624
Epoch [89/200] Loss: 0.8265 | Train Acc: 77.59% | Test Acc: 76.15% | LR: 0.000616
Epoch [90/200] Loss: 0.8217 | Train Acc: 77.76% | Test Acc: 76.70% | LR: 0.000608
Epoch [91/200] Loss: 0.8223 | Train Acc: 77.61% | Test Acc: 76.64% | LR: 0.000600
Epoch [92/200] Loss: 0.8278 | Train Acc: 77.60% | Test Acc: 77.27% | LR: 0.000593
Epoch [93/200] Loss: 0.8120 | Train Acc: 78.09% | Test Acc: 76.90% | LR: 0.000585
Epoch [94/200] Loss: 0.8058 | Train Acc: 78.14% | Test Acc: 76.93% | LR: 0.000577
Epoch [95/200] Loss: 0.8016 | Train Acc: 78.41% | Test Acc: 77.02% | LR: 0.000569
Epoch [96/200] Loss: 0.7876 | Train Acc: 78.73% | Test Acc: 77.07% | LR: 0.000561
Epoch [97/200] Loss: 0.7805 | Train Acc: 78.92% | Test Acc: 76.85% | LR: 0.000553
Epoch [98/200] Loss: 0.7780 | Train Acc: 78.93% | Test Acc: 77.71% | LR: 0.000545
Epoch [99/200] Loss: 0.7740 | Train Acc: 79.00% | Test Acc: 77.29% | LR: 0.000537
Epoch [100/200] Loss: 0.7612 | Train Acc: 79.42% | Test Acc: 77.37% | LR: 0.000529
Epoch [101/200] Loss: 0.7463 | Train Acc: 79.89% | Test Acc: 76.97% | LR: 0.000521
Epoch [102/200] Loss: 0.7510 | Train Acc: 79.67% | Test Acc: 77.11% | LR: 0.000513
Epoch [103/200] Loss: 0.7451 | Train Acc: 79.97% | Test Acc: 77.45% | LR: 0.000505
Epoch [104/200] Loss: 0.7415 | Train Acc: 79.94% | Test Acc: 77.53% | LR: 0.000496
Epoch [105/200] Loss: 0.7387 | Train Acc: 80.24% | Test Acc: 77.73% | LR: 0.000488
Epoch [106/200] Loss: 0.7340 | Train Acc: 80.39% | Test Acc: 77.99% | LR: 0.000480
Epoch [107/200] Loss: 0.7340 | Train Acc: 80.27% | Test Acc: 78.05% | LR: 0.000472
Epoch [108/200] Loss: 0.7238 | Train Acc: 80.69% | Test Acc: 76.79% | LR: 0.000464
Epoch [109/200] Loss: 0.7214 | Train Acc: 80.67% | Test Acc: 77.63% | LR: 0.000456
Epoch [110/200] Loss: 0.7053 | Train Acc: 81.05% | Test Acc: 77.81% | LR: 0.000448
Epoch [111/200] Loss: 0.7072 | Train Acc: 80.98% | Test Acc: 78.08% | LR: 0.000440
Epoch [112/200] Loss: 0.7029 | Train Acc: 80.99% | Test Acc: 77.59% | LR: 0.000432
Epoch [113/200] Loss: 0.6987 | Train Acc: 81.43% | Test Acc: 78.64% | LR: 0.000424
Epoch [114/200] Loss: 0.6894 | Train Acc: 81.50% | Test Acc: 78.36% | LR: 0.000416
Epoch [115/200] Loss: 0.6882 | Train Acc: 81.68% | Test Acc: 78.21% | LR: 0.000408
Epoch [116/200] Loss: 0.6764 | Train Acc: 81.79% | Test Acc: 78.16% | LR: 0.000401
Epoch [117/200] Loss: 0.6743 | Train Acc: 81.81% | Test Acc: 78.47% | LR: 0.000393
Epoch [118/200] Loss: 0.6636 | Train Acc: 82.45% | Test Acc: 77.81% | LR: 0.000385
Epoch [119/200] Loss: 0.6564 | Train Acc: 82.37% | Test Acc: 78.33% | LR: 0.000377
Epoch [120/200] Loss: 0.6510 | Train Acc: 82.46% | Test Acc: 78.77% | LR: 0.000369
Epoch [121/200] Loss: 0.6510 | Train Acc: 82.77% | Test Acc: 78.65% | LR: 0.000362
Epoch [122/200] Loss: 0.6393 | Train Acc: 82.89% | Test Acc: 78.79% | LR: 0.000354
Epoch [123/200] Loss: 0.6395 | Train Acc: 83.12% | Test Acc: 78.76% | LR: 0.000346
Epoch [124/200] Loss: 0.6271 | Train Acc: 83.26% | Test Acc: 78.45% | LR: 0.000339
Epoch [125/200] Loss: 0.6299 | Train Acc: 83.28% | Test Acc: 78.47% | LR: 0.000331
Epoch [126/200] Loss: 0.6262 | Train Acc: 83.37% | Test Acc: 78.70% | LR: 0.000323
Epoch [127/200] Loss: 0.6262 | Train Acc: 83.25% | Test Acc: 78.82% | LR: 0.000316
Epoch [128/200] Loss: 0.6202 | Train Acc: 83.42% | Test Acc: 79.28% | LR: 0.000308
Epoch [129/200] Loss: 0.6112 | Train Acc: 83.71% | Test Acc: 79.08% | LR: 0.000301
Epoch [130/200] Loss: 0.6028 | Train Acc: 84.10% | Test Acc: 79.34% | LR: 0.000294
Epoch [131/200] Loss: 0.5912 | Train Acc: 84.25% | Test Acc: 79.19% | LR: 0.000286
Epoch [132/200] Loss: 0.5985 | Train Acc: 84.17% | Test Acc: 78.95% | LR: 0.000279
Epoch [133/200] Loss: 0.5855 | Train Acc: 84.57% | Test Acc: 79.48% | LR: 0.000272
Epoch [134/200] Loss: 0.5794 | Train Acc: 84.55% | Test Acc: 79.79% | LR: 0.000265
Epoch [135/200] Loss: 0.5780 | Train Acc: 84.66% | Test Acc: 79.21% | LR: 0.000258
Epoch [136/200] Loss: 0.5736 | Train Acc: 84.74% | Test Acc: 79.20% | LR: 0.000251
Epoch [137/200] Loss: 0.5629 | Train Acc: 85.00% | Test Acc: 79.80% | LR: 0.000244
Epoch [138/200] Loss: 0.5676 | Train Acc: 84.98% | Test Acc: 79.77% | LR: 0.000237
Epoch [139/200] Loss: 0.5649 | Train Acc: 84.97% | Test Acc: 79.78% | LR: 0.000230
Epoch [140/200] Loss: 0.5566 | Train Acc: 85.32% | Test Acc: 80.10% | LR: 0.000223
Epoch [141/200] Loss: 0.5512 | Train Acc: 85.30% | Test Acc: 79.08% | LR: 0.000217
Epoch [142/200] Loss: 0.5490 | Train Acc: 85.47% | Test Acc: 80.01% | LR: 0.000210
Epoch [143/200] Loss: 0.5404 | Train Acc: 85.81% | Test Acc: 80.07% | LR: 0.000204
Epoch [144/200] Loss: 0.5341 | Train Acc: 85.75% | Test Acc: 80.49% | LR: 0.000197
Epoch [145/200] Loss: 0.5174 | Train Acc: 86.31% | Test Acc: 80.09% | LR: 0.000191
Epoch [146/200] Loss: 0.5268 | Train Acc: 86.10% | Test Acc: 80.32% | LR: 0.000185
Epoch [147/200] Loss: 0.5207 | Train Acc: 86.34% | Test Acc: 80.07% | LR: 0.000178
Epoch [148/200] Loss: 0.5219 | Train Acc: 86.20% | Test Acc: 79.91% | LR: 0.000172
Epoch [149/200] Loss: 0.5059 | Train Acc: 86.60% | Test Acc: 80.29% | LR: 0.000166
Epoch [150/200] Loss: 0.5025 | Train Acc: 86.77% | Test Acc: 80.11% | LR: 0.000160
Epoch [151/200] Loss: 0.5106 | Train Acc: 86.62% | Test Acc: 80.08% | LR: 0.000154
Epoch [152/200] Loss: 0.4978 | Train Acc: 86.93% | Test Acc: 80.07% | LR: 0.000149
Epoch [153/200] Loss: 0.4968 | Train Acc: 86.81% | Test Acc: 80.39% | LR: 0.000143
Epoch [154/200] Loss: 0.4821 | Train Acc: 87.39% | Test Acc: 80.58% | LR: 0.000137
Epoch [155/200] Loss: 0.4895 | Train Acc: 87.04% | Test Acc: 80.41% | LR: 0.000132
Epoch [156/200] Loss: 0.4779 | Train Acc: 87.50% | Test Acc: 80.56% | LR: 0.000127
Epoch [157/200] Loss: 0.4883 | Train Acc: 87.12% | Test Acc: 80.39% | LR: 0.000121
Epoch [158/200] Loss: 0.4772 | Train Acc: 87.52% | Test Acc: 80.40% | LR: 0.000116
Epoch [159/200] Loss: 0.4686 | Train Acc: 87.72% | Test Acc: 80.97% | LR: 0.000111
Epoch [160/200] Loss: 0.4660 | Train Acc: 87.75% | Test Acc: 80.77% | LR: 0.000106
Epoch [161/200] Loss: 0.4672 | Train Acc: 87.79% | Test Acc: 80.56% | LR: 0.000101
Epoch [162/200] Loss: 0.4521 | Train Acc: 88.16% | Test Acc: 81.14% | LR: 0.000096
Epoch [163/200] Loss: 0.4529 | Train Acc: 88.23% | Test Acc: 81.01% | LR: 0.000092
Epoch [164/200] Loss: 0.4481 | Train Acc: 88.22% | Test Acc: 80.96% | LR: 0.000087
Epoch [165/200] Loss: 0.4466 | Train Acc: 88.24% | Test Acc: 80.82% | LR: 0.000083
Epoch [166/200] Loss: 0.4410 | Train Acc: 88.25% | Test Acc: 81.20% | LR: 0.000078
Epoch [167/200] Loss: 0.4405 | Train Acc: 88.50% | Test Acc: 81.21% | LR: 0.000074
Epoch [168/200] Loss: 0.4325 | Train Acc: 88.73% | Test Acc: 81.13% | LR: 0.000070
Epoch [169/200] Loss: 0.4301 | Train Acc: 88.70% | Test Acc: 81.52% | LR: 0.000066
Epoch [170/200] Loss: 0.4325 | Train Acc: 88.60% | Test Acc: 81.20% | LR: 0.000062
Epoch [171/200] Loss: 0.4307 | Train Acc: 88.72% | Test Acc: 81.49% | LR: 0.000058
Epoch [172/200] Loss: 0.4276 | Train Acc: 88.77% | Test Acc: 81.10% | LR: 0.000055
Epoch [173/200] Loss: 0.4192 | Train Acc: 88.98% | Test Acc: 81.41% | LR: 0.000051
Epoch [174/200] Loss: 0.4349 | Train Acc: 88.76% | Test Acc: 81.32% | LR: 0.000048
Epoch [175/200] Loss: 0.4190 | Train Acc: 89.13% | Test Acc: 81.25% | LR: 0.000044
Epoch [176/200] Loss: 0.4082 | Train Acc: 89.36% | Test Acc: 81.13% | LR: 0.000041
Epoch [177/200] Loss: 0.4081 | Train Acc: 89.45% | Test Acc: 81.52% | LR: 0.000038
Epoch [178/200] Loss: 0.4101 | Train Acc: 89.26% | Test Acc: 81.40% | LR: 0.000035
Epoch [179/200] Loss: 0.4021 | Train Acc: 89.46% | Test Acc: 81.36% | LR: 0.000032
Epoch [180/200] Loss: 0.4040 | Train Acc: 89.39% | Test Acc: 81.43% | LR: 0.000029
Epoch [181/200] Loss: 0.4044 | Train Acc: 89.49% | Test Acc: 81.33% | LR: 0.000027
Epoch [182/200] Loss: 0.4036 | Train Acc: 89.50% | Test Acc: 81.43% | LR: 0.000024
Epoch [183/200] Loss: 0.3940 | Train Acc: 89.68% | Test Acc: 81.54% | LR: 0.000022
Epoch [184/200] Loss: 0.3907 | Train Acc: 89.91% | Test Acc: 81.47% | LR: 0.000020
Epoch [185/200] Loss: 0.3954 | Train Acc: 89.81% | Test Acc: 81.84% | LR: 0.000018
Epoch [186/200] Loss: 0.4019 | Train Acc: 89.47% | Test Acc: 81.68% | LR: 0.000016
Epoch [187/200] Loss: 0.3977 | Train Acc: 89.64% | Test Acc: 81.76% | LR: 0.000014
Epoch [188/200] Loss: 0.3948 | Train Acc: 89.73% | Test Acc: 81.69% | LR: 0.000012
Epoch [189/200] Loss: 0.3931 | Train Acc: 89.84% | Test Acc: 81.75% | LR: 0.000010
Epoch [190/200] Loss: 0.3944 | Train Acc: 89.64% | Test Acc: 81.89% | LR: 0.000009
Epoch [191/200] Loss: 0.3902 | Train Acc: 89.87% | Test Acc: 81.90% | LR: 0.000007
Epoch [192/200] Loss: 0.3950 | Train Acc: 89.73% | Test Acc: 81.65% | LR: 0.000006
Epoch [193/200] Loss: 0.3902 | Train Acc: 89.92% | Test Acc: 81.82% | LR: 0.000005
Epoch [194/200] Loss: 0.3871 | Train Acc: 89.92% | Test Acc: 81.93% | LR: 0.000004
Epoch [195/200] Loss: 0.3801 | Train Acc: 90.05% | Test Acc: 81.91% | LR: 0.000003
Epoch [196/200] Loss: 0.3879 | Train Acc: 89.82% | Test Acc: 81.81% | LR: 0.000003
Epoch [197/200] Loss: 0.3805 | Train Acc: 90.10% | Test Acc: 81.79% | LR: 0.000002
Epoch [198/200] Loss: 0.3894 | Train Acc: 89.72% | Test Acc: 81.83% | LR: 0.000002
Epoch [199/200] Loss: 0.3864 | Train Acc: 89.90% | Test Acc: 81.79% | LR: 0.000001
Epoch [200/200] Loss: 0.3840 | Train Acc: 89.92% | Test Acc: 81.95% | LR: 0.000001
